,index,seed,batch_size,learning_rate,accuracy
362,40,1961993187,40,0.005,99.38
363,40,1961993187,40,0.01,99.14
364,40,1961993187,70,0.001,99.05000000000001
365,40,1961993187,70,0.005,99.02
366,40,1961993187,70,0.01,99.11
367,41,1988848398,10,0.001,99.19
368,41,1988848398,10,0.005,99.31
369,41,1988848398,10,0.01,99.29
370,41,1988848398,40,0.001,99.55000000000001
371,41,1988848398,40,0.005,99.31
372,41,1988848398,40,0.01,99.25
373,41,1988848398,70,0.001,99.05000000000001
374,41,1988848398,70,0.005,98.7
375,41,1988848398,70,0.01,98.71
376,42,1992646254,10,0.001,99.36
377,42,1992646254,10,0.005,99.28
378,42,1992646254,10,0.01,99.18
379,42,1992646254,40,0.001,99.48
380,42,1992646254,40,0.005,99.33999999999999
381,42,1992646254,40,0.01,99.41
382,42,1992646254,70,0.001,99.02
383,42,1992646254,70,0.005,98.71
384,42,1992646254,70,0.01,98.81
385,43,2000781011,10,0.001,99.21
386,43,2000781011,10,0.005,99.22999999999999
387,43,2000781011,10,0.01,99.27
388,43,2000781011,40,0.001,99.55000000000001
389,43,2000781011,40,0.005,99.39
390,43,2000781011,40,0.01,99.3
391,43,2000781011,70,0.001,99.26
392,43,2000781011,70,0.005,99.13
393,43,2000781011,70,0.01,99.02
394,44,20405279,10,0.001,99.3
395,44,20405279,10,0.005,99.26
396,44,20405279,10,0.01,99.17
397,44,20405279,40,0.001,99.52
398,44,20405279,40,0.005,99.3
399,44,20405279,40,0.01,99.29
400,44,20405279,70,0.001,98.98
401,44,20405279,70,0.005,98.72999999999999
402,44,20405279,70,0.01,98.85000000000001
403,45,2046464199,10,0.001,99.36
404,45,2046464199,10,0.005,99.21
405,45,2046464199,10,0.01,99.21
406,45,2046464199,40,0.001,99.32
407,45,2046464199,40,0.005,99.3
408,45,2046464199,40,0.01,99.28
409,45,2046464199,70,0.001,98.88
410,45,2046464199,70,0.005,99.06
411,45,2046464199,70,0.01,98.79
420,47,2067139019,10,0.001,99.3
421,47,2067139019,10,0.005,99.21
422,47,2067139019,10,0.01,99.13
423,47,2067139019,40,0.001,99.42
424,47,2067139019,40,0.005,99.29
425,47,2067139019,40,0.01,99.42999999999999
426,47,2067139019,70,0.001,98.92999999999999
427,47,2067139019,70,0.005,98.75
428,47,2067139019,70,0.01,99.17
429,48,2086452010,10,0.001,99.17
430,48,2086452010,10,0.005,99.27
431,48,2086452010,10,0.01,99.1
432,48,2086452010,40,0.001,99.41
433,48,2086452010,40,0.005,99.46000000000001
434,48,2086452010,40,0.01,99.38
435,48,2086452010,70,0.001,99.22999999999999
436,48,2086452010,70,0.005,99.09
437,48,2086452010,70,0.01,99.11
438,49,2089596685,10,0.001,99.32
439,49,2089596685,10,0.005,99.22999999999999
440,49,2089596685,10,0.01,99.26
441,49,2089596685,40,0.001,99.37
442,49,2089596685,40,0.005,99.41
443,49,2089596685,40,0.01,99.22
444,49,2089596685,70,0.001,99.3
445,49,2089596685,70,0.005,98.77
446,49,2089596685,70,0.01,98.77
455,51,2182375314,10,0.001,99.32
456,51,2182375314,10,0.005,99.17
457,51,2182375314,10,0.01,99.14
458,51,2182375314,40,0.001,99.48
459,51,2182375314,40,0.005,99.31
460,51,2182375314,40,0.01,99.33
461,51,2182375314,70,0.001,98.89
462,51,2182375314,70,0.005,98.88
463,51,2182375314,70,0.01,98.3
464,52,2211357247,10,0.001,99.2
465,52,2211357247,10,0.005,99.17
466,52,2211357247,10,0.01,99.24
467,52,2211357247,40,0.001,99.37
468,52,2211357247,40,0.005,99.46000000000001
469,52,2211357247,40,0.01,99.42
470,52,2211357247,70,0.001,98.83999999999999
471,52,2211357247,70,0.005,99.11
