index,fusion method,rgb_equalization,th_equalization,R,P,mAP50,mAP50-95
198,VTHS,clahe,none,0.8947597521234395,0.9525537339456692,0.9519925344591351,0.6491008842246541
199,VTHS,clahe,none,0.8872560828715972,0.9425685114070185,0.9483556129874858,0.6478311659155915
200,VTHS,clahe,none,0.9195847859422901,0.9613417941535349,0.9681558794739741,0.663331210798755
201,VTHS,clahe,none,0.9263780362712346,0.9626977322320772,0.970424865037222,0.6705613878901648
202,VTHS,clahe,none,0.8660563719585642,0.9506869620590552,0.9380007624817658,0.6127039595721474
203,VTHS,clahe,none,0.8879788002890869,0.952204001043741,0.9497969815510221,0.648156301589481
204,VTHS,clahe,none,0.9296785945183922,0.9591161720272154,0.9740728962575479,0.6736992320125823
205,VTHS,clahe,none,0.903276318959287,0.9606641343114695,0.9567710701144111,0.64620596077466
206,VTHS,clahe,none,0.9170672720419769,0.9663641234259459,0.9689498279824685,0.6672460085194933
207,VTHS,clahe,none,0.9151518819871828,0.9597048774804094,0.9674751429432495,0.6703821106784854
208,VTHS,clahe,none,0.899903135288183,0.9600359590458939,0.9575045182882824,0.6573011769135589
209,VTHS,clahe,none,0.9277282582510239,0.9603787373177342,0.9704387992725854,0.67673483559624
210,VTHS,none,clahe,0.8807516261141893,0.9463514398702881,0.9471003390327727,0.6396254143039786
211,VTHS,none,clahe,0.8476270778125753,0.9391661942153497,0.9208725627014068,0.6059735199169076
212,VTHS,none,clahe,0.9083463934503845,0.9571016545032268,0.9598052490284713,0.6489019391106339
213,VTHS,none,clahe,0.907164710224214,0.9615693072443683,0.9632281429051943,0.6556348989735608
214,VTHS,none,clahe,0.9218260660081908,0.9612360983293999,0.9708030790098335,0.667256841022194
215,VTHS,none,clahe,0.889724432936912,0.9439012923146217,0.9523954917446803,0.6436439435474273
216,VTHS,none,clahe,0.8929483165008741,0.9442127540062506,0.9494533205313989,0.6402169914553603
217,VTHS,none,clahe,0.8918332931823657,0.9463321362004051,0.9482156028537211,0.6448429840616938
218,VTHS,none,clahe,0.893760539629005,0.9438905498334931,0.9518622433507837,0.6573713551292741
219,VTHS,none,clahe,0.9042992643329911,0.9583838241192826,0.9635804513892416,0.6692879343928275
220,VTHS,none,clahe,0.9073031595797194,0.9499333546104375,0.9558913215540592,0.6531774261862525
221,VTHS,none,clahe,0.9299648058079761,0.9656059447782037,0.9731839117697728,0.6780494494659535
222,VTHS,none,clahe,0.8740062635509516,0.9290267247247382,0.9362294740477172,0.6270299133730932
223,VTHS,none,clahe,0.8994218260660082,0.951159011295113,0.9549552373909127,0.6552291371217484
224,VTHS,none,clahe,0.8938436147542387,0.9488536155670446,0.9512410950440745,0.6550516034432747
225,VTHS,none,clahe,0.8891833293182365,0.9520831061531585,0.9523186818239776,0.6257982484968974
226,VTHS,none,clahe,0.899903637677668,0.9517209185146491,0.954730638786612,0.649391274044031
227,VTHS,none,clahe,0.8900569013794742,0.9498666476673311,0.9541671759798037,0.654585978181861
