index,seed,batch_size,learning_rate,mse_x100
546,2928187655,16,0.0001,3.714795
36,216124376,16,0.0001,5.602231
465,2466213103,16,0.0001,1.93355
640,3407505284,16,0.0001,1.820203
669,3611889259,16,0.0001,1.16104
625,3294508113,16,0.0001,1.999862
412,2241739480,16,0.0001,2.692196
637,3395767071,16,0.0001,2.103635
516,2690709307,16,0.0001,1.334949
113,653467171,16,0.0001,1.915157
708,3868261004,16,0.0001,1.200197
164,932410737,16,0.0001,1.108774
206,1193539236,16,0.0001,1.156643
601,3190569566,16,0.0001,1.713838
289,1662047706,16,0.0001,1.765825
264,1554171906,16,0.0001,1.328204
78,479815976,16,0.0001,1.43905
321,1828261471,16,0.0001,1.612731
398,2178077735,16,0.0001,1.59454
499,2633060670,16,0.0001,1.290566
434,2326594845,16,0.0001,1.698805
263,1547018033,16,0.0001,2.301824
639,3406430428,16,0.0001,2.716339
587,3114679737,16,0.0001,2.340746
195,1142369558,16,0.0001,2.470605
697,3814889138,16,0.0001,2.322441
617,3254095427,16,0.0001,1.659455
435,2329735936,16,0.0001,1.823331
134,736222544,16,0.0001,1.753971
16,99532446,16,0.0001,1.969284
570,3051814239,16,0.0001,2.300317
667,3593303030,16,0.0001,1.923933
616,3251664631,16,0.0001,1.939746
585,3104109061,16,0.0001,1.343865
581,3077519216,16,0.0001,2.491975
102,594246501,16,0.0001,2.064493
633,3366535515,16,0.0001,2.181481
642,3414909485,16,0.0001,1.790047
7,56765849,16,0.0001,1.327519
9,68549904,16,0.0001,2.821727
770,4114599217,16,0.0001,1.710198
163,928292012,16,0.0001,1.485742
50,342303009,16,0.0001,1.787211
160,915591857,16,0.0001,1.348103
488,2569099080,16,0.0001,1.533938
127,712892409,16,0.0001,1.811475
175,998479700,16,0.0001,1.797368
46,284928499,16,0.0001,1.794062
767,4108527187,16,0.0001,1.502574
656,3513855289,16,0.0001,2.176412
711,3879599126,16,0.0001,1.46618
53,348643470,16,0.0001,1.612827
792,4237116011,16,0.0001,1.64636
772,4127615786,16,0.0001,1.221811
347,1956577538,16,0.0001,1.871355
361,2028315151,16,0.0001,1.626652
514,2687944210,16,0.0001,1.409503
99,584334175,16,0.0001,1.7695
292,1678548266,16,0.0001,2.008426
287,1649231404,16,0.0001,1.554952
338,1910092192,16,0.0001,2.003506
291,1674184798,16,0.0001,2.072322
738,4001806226,16,0.0001,2.239865
259,1520882987,16,0.0001,1.695109
467,2472048930,16,0.0001,2.00022
235,1357486543,16,0.0001,1.814087
504,2649893316,16,0.0001,1.71275
548,2936084114,16,0.0001,1.72682
136,745292537,16,0.0001,1.247302
236,1369021779,16,0.0001,1.286662
619,3261192944,16,0.0001,1.646749
524,2727113025,16,0.0001,1.64862
618,3258308272,16,0.0001,1.424342
683,3700319749,16,0.0001,1.964011
603,3195701073,16,0.0001,1.564006
610,3225872968,16,0.0001,2.0513
15,97068529,16,0.0001,1.549209
31,183012214,16,0.0001,1.984709
498,2628072843,16,0.0001,1.710946
176,999852485,16,0.0001,1.817667
780,4168287510,16,0.0001,1.580019
310,1753180552,16,0.0001,1.483789
268,1562716170,16,0.0001,1.656398
247,1438534482,16,0.0001,1.69789
455,2437514316,16,0.0001,2.651908
96,580856335,16,0.0001,1.656693
573,3054920737,16,0.0001,1.443573
769,4112185530,16,0.0001,2.000727
252,1472390359,16,0.0001,1.622561
468,2473271835,16,0.0001,2.237679
