index,seed,epsilon,learning_rate,mse_x100
798,4291513028,10,0.0001,1.03079
551,2944154307,10,0.0001,1.042102
72,452686242,10,0.0001,0.997623
250,1458998622,10,0.0001,0.932214
13,81840201,10,0.0001,1.14018
681,3682284103,10,0.0001,1.018884
653,3501718533,10,0.0001,1.073461
228,1327433256,10,0.0001,0.974234
193,1122984156,10,0.0001,0.99959
636,3391064686,10,0.0001,1.001238
177,1004678768,10,0.0001,1.010704
503,2647815294,10,0.0001,0.953495
673,3637313944,10,0.0001,1.088869
604,3198439550,10,0.0001,0.950409
449,2395779971,10,0.0001,1.139174
258,1519477814,10,0.0001,0.976584
343,1923391920,10,0.0001,0.944882
284,1645407601,10,0.0001,1.031924
700,3835206212,10,0.0001,1.102089
152,855424845,10,0.0001,1.077031
312,1783621750,10,0.0001,0.966737
186,1083342261,10,0.0001,1.014043
121,694347933,10,0.0001,1.02344
733,3986180399,10,0.0001,1.120026
74,467725909,10,0.0001,1.113148
750,4020386450,10,0.0001,0.99153
283,1643975504,10,0.0001,1.020125
795,4258389270,10,0.0001,0.870851
282,1642417931,10,0.0001,1.072497
688,3723487701,10,0.0001,1.062581
788,4226823683,10,0.0001,1.051938
88,544000584,10,0.0001,1.077954
533,2802523470,10,0.0001,0.970865
71,450306503,10,0.0001,1.045515
97,582450454,10,0.0001,0.998783
299,1707304310,10,0.0001,1.06214
332,1870588672,10,0.0001,1.008681
531,2784932243,10,0.0001,0.917025
724,3937175976,10,0.0001,0.920857
612,3234827243,10,0.0001,1.156285
537,2846745786,10,0.0001,0.962266
386,2140462521,10,0.0001,0.953074
408,2220098813,10,0.0001,1.047368
456,2438164466,10,0.0001,1.04978
203,1178591831,10,0.0001,1.01966
375,2106044942,10,0.0001,1.140155
484,2546814766,10,0.0001,1.015555
2,15181484,10,0.0001,1.03956
521,2711234365,10,0.0001,1.180567
727,3947592915,10,0.0001,1.05602
658,3531603583,10,0.0001,1.019293
307,1744571866,10,0.0001,1.016772
732,3982408282,10,0.0001,1.075907
253,1481529021,10,0.0001,1.002429
578,3073507751,10,0.0001,1.138966
451,2400784315,10,0.0001,0.886504
481,2538759175,10,0.0001,1.019228
450,2400227150,10,0.0001,1.038993
588,3117403381,10,0.0001,1.013599
542,2888004167,10,0.0001,0.847007
151,849085970,10,0.0001,0.948144
515,2690518011,10,0.0001,0.999281
271,1571715391,10,0.0001,0.976958
655,3513763120,10,0.0001,1.092347
718,3916905196,10,0.0001,0.992187
583,3093582843,10,0.0001,1.071349
452,2409889442,10,0.0001,0.981424
665,3577938010,10,0.0001,0.978391
787,4218900356,10,0.0001,0.988888
319,1822612080,10,0.0001,1.157422
241,1401062374,10,0.0001,0.943174
453,2410708579,10,0.0001,1.031435
382,2124925937,10,0.0001,1.164801
606,3212408679,10,0.0001,0.928182
691,3741510301,10,0.0001,1.259257
406,2217633142,10,0.0001,1.122217
285,1647507875,10,0.0001,1.012921
437,2334614032,10,0.0001,1.124216
350,1971064116,10,0.0001,1.072278
249,1453395613,10,0.0001,0.863625
179,1018916965,10,0.0001,0.991595
686,3718836128,10,0.0001,1.141774
659,3538105639,10,0.0001,1.048241
739,4002549665,10,0.0001,0.977915
419,2262708055,10,0.0001,0.866023
29,166003636,10,0.0001,0.982473
775,4140069382,10,0.0001,1.056936
647,3487994093,10,0.0001,0.937146
27,159368359,10,0.0001,1.072049
584,3100490675,10,0.0001,0.956157
776,4144912136,10,0.0001,0.915999
135,743712961,10,0.0001,0.933231
90,554441630,10,0.0001,1.010074
65,436264222,10,0.0001,1.021497
759,4075960328,10,0.0001,1.184866
500,2643364798,10,0.0001,0.99775
756,4048507978,10,0.0001,1.057183
137,751394618,10,0.0001,1.020574
56,382671389,10,0.0001,0.994239
101,586174267,10,0.0001,1.00426
280,1621891552,10,0.0001,0.969431
525,2752992798,10,0.0001,0.973634
339,1910179590,10,0.0001,0.997469
745,4009966614,10,0.0001,1.086245
755,4046561081,10,0.0001,0.990801
217,1264123378,10,0.0001,0.92617
223,1283105626,10,0.0001,1.034395
429,2309025518,10,0.0001,0.891555
510,2662607185,10,0.0001,1.166482
17,107246313,10,0.0001,1.00704
81,487164613,10,0.0001,1.097269
609,3221356302,10,0.0001,0.932373
238,1378550958,10,0.0001,1.014484
42,269992899,10,0.0001,1.004804
454,2413965186,10,0.0001,1.003091
661,3561457000,10,0.0001,1.015492
713,3898863325,10,0.0001,1.102175
85,513464137,10,0.0001,1.116792
746,4012333331,10,0.0001,1.022405
793,4250191551,10,0.0001,0.938363
512,2666889022,10,0.0001,1.031708
677,3673015092,10,0.0001,1.002171
204,1180165428,10,0.0001,1.037644
168,972809141,10,0.0001,1.100531
294,1682449816,10,0.0001,0.952763
438,2350090130,10,0.0001,1.138332
620,3276947202,10,0.0001,0.950582
91,554855744,10,0.0001,0.959095
